Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
Spathara, Dimitra; Putman, Duncan; Warnken, Nils; 	Study into the role of nickel vapor on surface modification of a third-generation single-crystal superalloy	Metallurgical and Materials Transactions A	49	9	4301-4307	2018	Springer US New York
Skuras, E; Gavalas, A; Spathara, D; Makris, Th; Anagnostopoulos, D; Stanley, CR; Long, AR; 	Depletion of parallel conducting layers in high mobility In 0.53 Ga 0.47 As/In 0.52 Al 0.48 As modulation doped field effect transistors	AIP Conference Proceedings	1566	1	201-202	2013	American Institute of Physics
Spathara, Dimitra; 	Study on the surface modifications of single crystal Ni-based superalloys during industrial processing at high temperatures					2019	University of Birmingham
Spathara, Dimitra; Sergeev, Dmitry; Kobertz, Dietmar; Mueller, Michael; Putman, Duncan; Warnken, Nils; 	Thermodynamic study of single crystal, Ni-based superalloys in the γ+ γ′ two-phase region using Knudsen Effusion Mass Spectrometry, DSC and SEM	Journal of alloys and compounds	870		159295	2021	Elsevier
Ghisalberti, Lea; 	Focusing on the liquid role in the vapour liquid solid growth mechanism					2021	EPFL
Chen, Yongxiu; Lakhdar, Yazid; Chen, Lin; Kishore, Brij; Choi, Jaehoon; Williams, Ethan; Spathara, Dimitra; Jackowska, Roksana; Kendrick, Emma; 	Accurate voltage prediction for lithium and sodium-ion full-cell development	Next Energy	5		100166	2024	Elsevier
Arora, MM; Balogh, L; Beaufort, C; Brossard, A; Chapellier, M; Clarke, J; Corcoran, EC; Coquillat, J-M; Dastgheibi-Fard, A; Deng, Y; 	Ionization yield in a methane-filled spherical proportional counter	Physical Review D	111	7	072007	2025	American Physical Society
Arora, MM; Balogh, L; Beaufort, C; Brossard, A; Chapellier, M; Clarke, J; Corcoran, EC; Coquillat, J-M; Dastgheibi-Fard, A; Deng, Y; 	Search for Light Dark Matter with NEWS-G at the Laboratoire Souterrain de Modane Using a Methane Target	Physical Review Letters	134	14	141002	2025	American Physical Society
Spathara, Dimitra; Knights, Patrick; Nikolopoulos, Konstantinos; 	Designing New Ultra-Radiopure, High-Strength Electroformed CuCr Alloys, for Rare Event Searches	Electrochemical Society Meeting Abstracts prime2024		23	1979-1979	2024	The Electrochemical Society, Inc.
Spathara, Dimitra; Knights, Patrick; Nikolopoulos, Konstantinos; 	Synthesis of high-strength, radiopure, electroformed copper-based alloys for rare-event searches: A materials design perspective	arXiv preprint arXiv:2507.00799				2025	
Knights, P; Nikolopoulos, K; Rogers, G; Spathara, D; Walters, P; 	Titanium for rare-event searches: Hydrofluoric acid-free etching	arXiv preprint arXiv:2508.21029				2025	
Spathara, Dimitra; 	Design of high-strength, radiopure copper-chromium alloys for rare-event searches assisted by computational thermodynamics	arXiv preprint arXiv:2506.23231				2025	
Spathara, D; Knights, P; Nikolopoulos, K; 	Design of high-strength, radiopure, electroformed copper-based alloys for rare-event searches: Impact of layer configuration on heat treatments	arXiv preprint arXiv:2509.07406				2025	
